,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est.Tpk,Est.Tmin,Est.Tmax,Max.response,Slope,Intercept,R_Squared,AIC,BIC,Rank,Corrected,Number.of.Data.Points,Number.of.Variables,B0.max,B0.min,E.max,E.min,Tpk.max,Tpk.min,Response.max,Response.min,ED.max,ED.min,EDL.max,EDL.min,TH.max,TH.min,THL.max,THL.min,Slope.max,Slope.min,Intercept.max,Intercept.min,FinalID,OriginalID,Citation,Latitude,Longitude,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,OptimalConditions,Best_Guess
251_Sch_OS,Flavobacterium limicola,schoolfield simple,Specific Growth Rate,-0.3567839713505655,0.509157613097551,NA,6.88171885834261,NA,293.42234,288.22234,295.82234,2.89187593896,NA,NA,0.9965802070560141,-26.658184463879373,-25.6993871177391,1,False,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,Tamaki_2003_F_limicola,"Tamaki, H., Hanada, S., Kamagata, Y., Nakamura, K., Nomura, N., Nakano, K., & Matsumura, M. (2003). Flavobacterium limicola sp. nov., a psychrophilic, organic-polymer-degrading bacterium isolated from freshwater sediments. International Journal of Systematic and Evolutionary Microbiology, 53(2), 519?526.",,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,limicola,True,Aerobic
251_Sch_TF,Flavobacterium limicola,schoolfield two factor,Specific Growth Rate,-0.3567833530022687,0.509157297794442,293.445055753,6.881723995923706,NA,293.42234,288.22234,295.82234,2.89187588074,NA,NA,0.9965802069530353,-26.658184463765664,-25.699387117625392,2,False,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,Tamaki_2003_F_limicola,"Tamaki, H., Hanada, S., Kamagata, Y., Nakamura, K., Nomura, N., Nakano, K., & Matsumura, M. (2003). Flavobacterium limicola sp. nov., a psychrophilic, organic-polymer-degrading bacterium isolated from freshwater sediments. International Journal of Systematic and Evolutionary Microbiology, 53(2), 519?526.",,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,limicola,True,Aerobic
251_Sch_O,Flavobacterium limicola,schoolfield,Specific Growth Rate,0.3364425339960626,0.5090995631092373,NA,6.881656543412785,-0.000122050499003,293.42234,288.22234,295.82234,2.89188762066,NA,NA,0.9965802020835224,-22.65818431281952,-22.115868028223137,3,False,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,Tamaki_2003_F_limicola,"Tamaki, H., Hanada, S., Kamagata, Y., Nakamura, K., Nomura, N., Nakano, K., & Matsumura, M. (2003). Flavobacterium limicola sp. nov., a psychrophilic, organic-polymer-degrading bacterium isolated from freshwater sediments. International Journal of Systematic and Evolutionary Microbiology, 53(2), 519?526.",,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,limicola,True,Aerobic
65_Sch_O,Flexistipes sinusarabici,schoolfield,Specific Growth Rate,0.795312091458066,1.7050324485623491e-09,NA,12.899238453382674,-2.0945519755,321.8338,314.3338,324.3338,2.04211904428,NA,NA,0.9831097006702916,-25.638580362298455,-24.017209318911263,1,False,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,Fiala_1990_F_sinusarabici,"1990,  Fiala, G. et al , 'Flexistipes sinusarabici, a novel genus and species of eubacteria occurring in the Atlantis II Deep brines of the Red Sea', Archives of Microbiology, 154, (120-126)",21.23,38.04,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Flexistipes,sinusarabici,True,Fermentation
65_Sch_OS,Flexistipes sinusarabici,schoolfield simple,Specific Growth Rate,-3.7001699138178137,0.726391551670404,NA,6.216748228315011,NA,320.9338,316.0338,323.7338,2.16060637641,NA,NA,0.9392427911368672,-20.66757408041288,-18.938023335136315,2,False,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,Fiala_1990_F_sinusarabici,"1990,  Fiala, G. et al , 'Flexistipes sinusarabici, a novel genus and species of eubacteria occurring in the Atlantis II Deep brines of the Red Sea', Archives of Microbiology, 154, (120-126)",21.23,38.04,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Flexistipes,sinusarabici,True,Fermentation
65_Sch_TF,Flexistipes sinusarabici,schoolfield two factor,Specific Growth Rate,-3.700183235933651,0.7263940504710297,320.95202349,6.21670756040545,NA,320.9338,316.0338,323.7338,2.16060623228,NA,NA,0.9392427910959552,-20.667574062981977,-18.93802331770541,3,False,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,Fiala_1990_F_sinusarabici,"1990,  Fiala, G. et al , 'Flexistipes sinusarabici, a novel genus and species of eubacteria occurring in the Atlantis II Deep brines of the Red Sea', Archives of Microbiology, 154, (120-126)",21.23,38.04,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Flexistipes,sinusarabici,True,Fermentation
205_Sch_OS,Gelidibacter gilvus,schoolfield simple,Specific Growth Rate,-0.45422304991870194,0.6335399794510364,NA,1.7794493585448317,NA,296.80731,289.30731,303.60731,3.4984707791,NA,NA,0.8700938602275102,-133.85453208597653,-122.71132510353105,1,False,46,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,Nichols_1999_Gelidibacter_sp,"1999, NICHOLS, D.s. et al 'Physicochemical Parameters for Growth of the Sea Ice Bacteria Glaciecola punicea ACAM 611T and Gelidibacter sp. Strain IC158', APPLIED AND ENVIRONMENTAL MICROBIOLOGY.  65 (3757?3760)",,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gelidibacter,gilvus,True,Aerobic
205_Sch_TF,Gelidibacter gilvus,schoolfield two factor,Specific Growth Rate,-0.4541928649893624,0.6335229219418667,296.831452042,1.7794747586422601,NA,296.80731,289.30731,303.60731,3.4984726756,NA,NA,0.8700938606460131,-133.85453203162552,-122.71132504918005,2,False,46,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,Nichols_1999_Gelidibacter_sp,"1999, NICHOLS, D.s. et al 'Physicochemical Parameters for Growth of the Sea Ice Bacteria Glaciecola punicea ACAM 611T and Gelidibacter sp. Strain IC158', APPLIED AND ENVIRONMENTAL MICROBIOLOGY.  65 (3757?3760)",,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gelidibacter,gilvus,True,Aerobic
205_Sch_O,Gelidibacter gilvus,schoolfield,Specific Growth Rate,1.3659096717235875,2.4671450693514174e-07,NA,3.0768598636772753,-1.40069513109,297.60731,288.70731,303.80731,3.43904004228,NA,NA,0.8800860364719804,-133.53819826703742,-118.73770849161374,3,False,46,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,Nichols_1999_Gelidibacter_sp,"1999, NICHOLS, D.s. et al 'Physicochemical Parameters for Growth of the Sea Ice Bacteria Glaciecola punicea ACAM 611T and Gelidibacter sp. Strain IC158', APPLIED AND ENVIRONMENTAL MICROBIOLOGY.  65 (3757?3760)",,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gelidibacter,gilvus,True,Aerobic
443_Sch_TF,Gelidibacter sp.,schoolfield two factor,Specific Growth Rate,-0.46467863161204537,0.8886799931437434,296.15504158,1.531151526507578,NA,296.18,288.68,304.68,4.94664306784,NA,NA,0.9365065662248009,-187.03686671702485,-174.64917949749625,1,False,59,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443,191,"2005, David A. Ratkowsky and June Olley and Tom Ross, 'Unifying temperature effects on the growth rate of bacteria and the stability of globular proteins'. Journal of Theoretical Biology, 233(3),pp351-362",,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gelidibacter,,True,Aerobic
443_Sch_OS,Gelidibacter sp.,schoolfield simple,Specific Growth Rate,-0.2702733422630697,0.7626575695817404,NA,1.5719751278638516,NA,296.38,288.88,304.18,4.97265623375,NA,NA,0.9342742007813296,-185.00020683633105,-172.61251961680244,2,False,59,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443,191,"2005, David A. Ratkowsky and June Olley and Tom Ross, 'Unifying temperature effects on the growth rate of bacteria and the stability of globular proteins'. Journal of Theoretical Biology, 233(3),pp351-362",,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gelidibacter,,True,Aerobic
443_Sch_O,Gelidibacter sp.,schoolfield,Specific Growth Rate,2.609187071106025,2.5129351269859157e-06,NA,0.8672978488378996,-1.01149465015,296.28,288.68,304.58,4.94322257459,NA,NA,0.93503151312966,-181.68182103336824,-165.1390589260282,3,False,59,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443,191,"2005, David A. Ratkowsky and June Olley and Tom Ross, 'Unifying temperature effects on the growth rate of bacteria and the stability of globular proteins'. Journal of Theoretical Biology, 233(3),pp351-362",,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gelidibacter,,True,Aerobic
134_Sch_TF,Geobacillus caldotenax,schoolfield two factor,Specific Growth Rate,-3.797257729504946,1.0860012361210116,335.80777416,2.8652520384707105,NA,335.77122927,329.97122927,341.07122927,76.1235971384,NA,NA,0.9868858427023294,14.469548696410081,14.516738258580583,1,False,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,Kuhn_1980_complex,"1980, Kuhn, H.J. et al, 'Effects of Growth Temperature on Maximal Specific Growth Rate, Yield, Maintenance, and Death Rate in Glucose-Limited Continuous Culture of the Thermophilic Bacillus caldotenax', European J. Appl. Microbiol. Biotechnol., 10 (303-315)",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,caldotenax,True,Aerobic
134_Sch_OS,Geobacillus caldotenax,schoolfield simple,Specific Growth Rate,-3.7972645483465004,1.0860022375781861,NA,2.8652507545796944,NA,335.77122927,329.97122927,341.07122927,76.1235953663,NA,NA,0.9868858429929361,14.469548697266147,14.516738259436648,2,False,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,Kuhn_1980_complex,"1980, Kuhn, H.J. et al, 'Effects of Growth Temperature on Maximal Specific Growth Rate, Yield, Maintenance, and Death Rate in Glucose-Limited Continuous Culture of the Thermophilic Bacillus caldotenax', European J. Appl. Microbiol. Biotechnol., 10 (303-315)",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,caldotenax,True,Aerobic
135_Sch_O,Geobacillus caldotenax,schoolfield,Specific Growth Rate,-2.7277471078563194,0.865755521707945,NA,3.2425398967947023,-4.85551390371,337.49193945,331.29193945,342.39193945,53.0844420897,NA,NA,0.9996140725179968,-5.169829101059001,-2.6137383093001514,1,False,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,Kuhn_1980_minimal,"1980, Kuhn, H.J. et al, 'Effects of Growth Temperature on Maximal Specific Growth Rate, Yield, Maintenance, and Death Rate in Glucose-Limited Continuous Culture of the Thermophilic Bacillus caldotenax', European J. Appl. Microbiol. Biotechnol., 10 (303-315)",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,caldotenax,False,Aerobic
135_Sch_TF,Geobacillus caldotenax,schoolfield two factor,Specific Growth Rate,-3.999834123166361,1.0461311899176255,337.003950514,2.885194816951483,NA,336.99193945,331.09193945,342.29193945,52.8916790909,NA,NA,0.9945508423612631,12.117222658389473,14.514430366788652,2,False,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,Kuhn_1980_minimal,"1980, Kuhn, H.J. et al, 'Effects of Growth Temperature on Maximal Specific Growth Rate, Yield, Maintenance, and Death Rate in Glucose-Limited Continuous Culture of the Thermophilic Bacillus caldotenax', European J. Appl. Microbiol. Biotechnol., 10 (303-315)",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,caldotenax,False,Aerobic
135_Sch_OS,Geobacillus caldotenax,schoolfield simple,Specific Growth Rate,-3.999844187545687,1.0461328453410377,NA,2.885184388482835,NA,336.99193945,331.09193945,342.29193945,52.8916385375,NA,NA,0.9945508446292466,12.11722265985562,14.5144303682548,3,False,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,Kuhn_1980_minimal,"1980, Kuhn, H.J. et al, 'Effects of Growth Temperature on Maximal Specific Growth Rate, Yield, Maintenance, and Death Rate in Glucose-Limited Continuous Culture of the Thermophilic Bacillus caldotenax', European J. Appl. Microbiol. Biotechnol., 10 (303-315)",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,caldotenax,False,Aerobic
157_Sch_TF,Geobacillus caldoxylosilyticus,schoolfield two factor,Specific Growth Rate,-1.5475505947535637,0.6210950946878165,341.321132551,4.2103050917665845,NA,341.3536,334.3536,345.6536,35.2101512393,NA,NA,0.9972945640295632,0.31690301922705366,0.3640925813975553,1,False,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,Marchant_2002_B70,"2002, Marchant, R. et al, 'The frequency and characteristics of highly thermophilic bacteria in cool soil environments', Environmental Microbiology, 10 (595?602)",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,caldoxylosilyticus,True,Aerobic
157_Sch_OS,Geobacillus caldoxylosilyticus,schoolfield simple,Specific Growth Rate,-1.5475506558347225,0.6210951030523002,NA,4.2103050345422455,NA,341.3536,334.3536,345.6536,35.2101513163,NA,NA,0.9972945640210089,0.3169030192272624,0.364092581397764,2,False,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,Marchant_2002_B70,"2002, Marchant, R. et al, 'The frequency and characteristics of highly thermophilic bacteria in cool soil environments', Environmental Microbiology, 10 (595?602)",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,caldoxylosilyticus,True,Aerobic
360_Sch_OS,Geobacillus stearothermophilus,schoolfield simple,Specific Growth Rate,-5.785902393899394,1.4243153498082566,NA,3.465620883352016,NA,329.9029,325.4029,334.1029,59.5957281183,NA,NA,0.8222318190737914,123.77185864364013,132.06234133374755,1,False,26,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,107,"2015, Narjes Mtimet and Clément Trunet and Anne-Gabrielle Mathot and Laurent Venaille and Ivan Leguérinel and Louis Coroller and Olivier Couvert, 'Modeling the behavior of Geobacillus stearothermophilus ATCC 12980 throughout its life cycle as vegetative cells or spores using growth boundaries'. Food Microbiology, 48,pp153-162",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,stearothermophilus,True,Aerobic
360_Sch_TF,Geobacillus stearothermophilus,schoolfield two factor,Specific Growth Rate,-5.786497990433551,1.4244097263109095,329.879033971,3.465610446202022,NA,329.9029,325.4029,334.1029,59.59585519,NA,NA,0.8222313683150861,123.77185865538661,132.06234134549402,2,False,26,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,107,"2015, Narjes Mtimet and Clément Trunet and Anne-Gabrielle Mathot and Laurent Venaille and Ivan Leguérinel and Louis Coroller and Olivier Couvert, 'Modeling the behavior of Geobacillus stearothermophilus ATCC 12980 throughout its life cycle as vegetative cells or spores using growth boundaries'. Food Microbiology, 48,pp153-162",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,stearothermophilus,True,Aerobic
360_Sch_O,Geobacillus stearothermophilus,schoolfield,Specific Growth Rate,-5.78586465005331,1.4243092100156876,NA,3.4656310388462437,-11716.1231394,329.9029,325.4029,334.1029,59.5957722711,NA,NA,0.8222318071047711,127.77185864177362,138.578534407924,3,False,26,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,107,"2015, Narjes Mtimet and Clément Trunet and Anne-Gabrielle Mathot and Laurent Venaille and Ivan Leguérinel and Louis Coroller and Olivier Couvert, 'Modeling the behavior of Geobacillus stearothermophilus ATCC 12980 throughout its life cycle as vegetative cells or spores using growth boundaries'. Food Microbiology, 48,pp153-162",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,stearothermophilus,True,Aerobic
505_Sch_TF,Geobacillus thermodenitrificans,schoolfield two factor,Specific Growth Rate,-8.895968267343797,1.5831165253471,339.004477682,7.583346625138169,NA,339.0391,335.9391,341.1391,50.9606079308,NA,NA,0.9955676298516057,9.034213091442375,10.76376383671894,1,False,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505,Wang_2006_G_thermodenitrificans,"Wang, L., Tang, Y., Wang, S., Liu, R. L., Liu, M. Z., Zhang, Y., ? Feng, L. (2006). Isolation and characterization of a novel thermophilic Bacillus strain degrading long-chain n-alkanes. Extremophiles, 10(4), (347?356)",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,thermodenitrificans,True,Aerobic
505_Sch_OS,Geobacillus thermodenitrificans,schoolfield simple,Specific Growth Rate,-8.895735791691063,1.5830848796236863,NA,7.5836559761832465,NA,339.0391,335.9391,341.1391,50.9611862085,NA,NA,0.9955676313337145,9.034213113775975,10.76376385905254,2,False,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505,Wang_2006_G_thermodenitrificans,"Wang, L., Tang, Y., Wang, S., Liu, R. L., Liu, M. Z., Zhang, Y., ? Feng, L. (2006). Isolation and characterization of a novel thermophilic Bacillus strain degrading long-chain n-alkanes. Extremophiles, 10(4), (347?356)",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,thermodenitrificans,True,Aerobic
505_Sch_O,Geobacillus thermodenitrificans,schoolfield,Specific Growth Rate,3.4730160205714014,0.1412666744592609,NA,7.759981286202061,-1.94508800641,339.2391,335.8391,341.4391,51.205767065,NA,NA,0.9968959556719562,10.361134640807968,11.98250568419516,3,False,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505,Wang_2006_G_thermodenitrificans,"Wang, L., Tang, Y., Wang, S., Liu, R. L., Liu, M. Z., Zhang, Y., ? Feng, L. (2006). Isolation and characterization of a novel thermophilic Bacillus strain degrading long-chain n-alkanes. Extremophiles, 10(4), (347?356)",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,thermodenitrificans,True,Aerobic
159_Sch_TF,Geobacillus thermoleovorans,schoolfield two factor,Specific Growth Rate,-6.168023032337247,1.0013465759342846,345.200109383,57.38779428214947,NA,345.2403,342.1403,345.7403,14.7370750942,NA,NA,0.8597049597907116,12.333448274273586,12.380637836444087,1,False,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,Marchant_2002_I80,"2002, Marchant, R. et al, 'The frequency and characteristics of highly thermophilic bacteria in cool soil environments', Environmental Microbiology, 10 (595?602)",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,thermoleovorans,True,Aerobic
159_Sch_OS,Geobacillus thermoleovorans,schoolfield simple,Specific Growth Rate,-0.9749593785584793,0.326171140323096,NA,29.894240937237694,NA,NA,NA,NA,NA,NA,NA,0.19078987344551934,20.750136627773415,20.797326189943917,2,False,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,Marchant_2002_I80,"2002, Marchant, R. et al, 'The frequency and characteristics of highly thermophilic bacteria in cool soil environments', Environmental Microbiology, 10 (595?602)",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,thermoleovorans,True,Aerobic
160_Sch_TF,Geobacillus thermoleovorans,schoolfield two factor,Specific Growth Rate,-9.022736942288555,1.6113821833657047,341.455537712,2.389704929822904,NA,341.4079,335.1079,349.5079,34.6649679789,NA,NA,1.0,-226.68439343420314,-227.7529216286037,1,False,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,Marchant_2002_T70,"2002, Marchant, R. et al, 'The frequency and characteristics of highly thermophilic bacteria in cool soil environments', Environmental Microbiology, 10 (595?602)",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,thermoleovorans,True,Aerobic
160_Sch_OS,Geobacillus thermoleovorans,schoolfield simple,Specific Growth Rate,-5.632787630678017,1.1385048537631182,NA,2.6165379745629194,NA,342.2079,335.9079,348.3079,34.9412482679,NA,NA,0.9918019553224406,8.410184296925571,7.341656102525024,2,False,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,Marchant_2002_T70,"2002, Marchant, R. et al, 'The frequency and characteristics of highly thermophilic bacteria in cool soil environments', Environmental Microbiology, 10 (595?602)",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,thermoleovorans,True,Aerobic
161_Sch_OS,Geobacillus thermoleovorans,schoolfield simple,Specific Growth Rate,-6.300809919210622,1.0987004279292276,NA,54.34606009585095,NA,345.3463,342.4463,345.8463,30.8729801655,NA,NA,0.9503430795502819,14.358721803616557,14.405911365787059,1,False,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,Marchant_2002_T80,"2002, Marchant, R. et al, 'The frequency and characteristics of highly thermophilic bacteria in cool soil environments', Environmental Microbiology, 10 (595?602)",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,thermoleovorans,True,Aerobic
161_Sch_TF,Geobacillus thermoleovorans,schoolfield two factor,Specific Growth Rate,-6.300814553117294,1.0987010313124355,345.257322392,50.01300433375486,NA,345.2463,342.3463,345.8463,30.6464945277,NA,NA,0.9503418091788464,14.35872572920399,14.405915291374491,2,False,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,Marchant_2002_T80,"2002, Marchant, R. et al, 'The frequency and characteristics of highly thermophilic bacteria in cool soil environments', Environmental Microbiology, 10 (595?602)",,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,thermoleovorans,True,Aerobic
127_Sch_OS,Geogemma barossii,schoolfield simple,Specific Growth Rate,-10.290644673751853,1.0884984092857333,NA,4.5624657327051725,NA,377.248,371.448,381.648,8.95915195485,NA,NA,0.9554003674298414,-1.3133462534355012,2.1995792115347292,1,False,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,Kashefi_2003_G_barossii,"2003, Kashefi, K. and Lovley, D., 'Extending the Upper Temperature Limit for Life', Science, 301 (934)",47.55,129.06,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Geogemma,barossii,True,F3
127_Sch_TF,Geogemma barossii,schoolfield two factor,Specific Growth Rate,-10.290728969685434,1.0885062920347277,377.239984348,4.562425997368399,NA,377.248,371.448,381.648,8.95915054339,NA,NA,0.9554002727792809,-1.3133462416118995,2.199579223358331,2,False,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,Kashefi_2003_G_barossii,"2003, Kashefi, K. and Lovley, D., 'Extending the Upper Temperature Limit for Life', Science, 301 (934)",47.55,129.06,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Geogemma,barossii,True,F3
127_Sch_O,Geogemma barossii,schoolfield,Specific Growth Rate,-9.602385835152724,1.0889411175758585,NA,4.5619601882723595,-6.34833275447e-05,377.248,371.448,381.648,8.95970662615,NA,NA,0.9554023497250671,2.6866606921355025,6.804756343093823,3,False,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,Kashefi_2003_G_barossii,"2003, Kashefi, K. and Lovley, D., 'Extending the Upper Temperature Limit for Life', Science, 301 (934)",47.55,129.06,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Geogemma,barossii,True,F3
126_Sch_TF,Geoglobus ahangari,schoolfield two factor,Specific Growth Rate,-17.457530886487287,2.140198417143929,360.875545818,2.208146861936425,NA,360.8999,347.3999,378.0999,3.18144713505,NA,NA,0.971374711132291,-20.099350549594917,-19.140553203454644,1,False,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,Kashefi_2002_G_ahangari,"2002, Kashefi, K. et al, 'Geoglobus ahangari gen. nov., sp. nov., a novel hyperthermophilic archaeon capable of oxidizing organic acids and growing autotrophically on hydrogen with Fe(III) serving as the sole electron acceptor', International Journal of Systematic and Evolutionary Microbiology, 52 ( 719?728)",27.0,111.0,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Geoglobus,ahangari,True,F3
126_Sch_OS,Geoglobus ahangari,schoolfield simple,Specific Growth Rate,-5.970079886652003,0.7602963104110361,NA,1.7419351478339613,NA,359.0999,348.7999,369.2999,3.26383302187,NA,NA,0.9559919906256524,-17.51704780446168,-16.558250458321403,2,False,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,Kashefi_2002_G_ahangari,"2002, Kashefi, K. et al, 'Geoglobus ahangari gen. nov., sp. nov., a novel hyperthermophilic archaeon capable of oxidizing organic acids and growing autotrophically on hydrogen with Fe(III) serving as the sole electron acceptor', International Journal of Systematic and Evolutionary Microbiology, 52 ( 719?728)",27.0,111.0,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Geoglobus,ahangari,True,F3
